"hero_id"	"name"	"exp"	"cClass"	"cSubclass"	"shieldtype"	"life"	"level"	"skillid"	"awaken"
101	"安德鲁"	-1	10	0	2	50	1	0	0
102	"博格"	-1	20	0	3	50	1	0	0
103	"山姆?隆"	-1	30	0	2	50	1	0	0
104	"伊西多娜拉"	-1	40	0	1	50	1	0	0
105	"维斯丽"	-1	50	0	0	50	1	0	0
106	"维斯丽"	-1	50	0	0	50	1	0	0
107	"维斯丽"	-1	50	0	0	50	1	0	0
108	"维斯丽"	-1	50	0	0	50	1	0	0
109	"维斯丽"	-1	50	0	0	50	1	0	0
110	"维斯丽"	-1	50	0	0	50	1	0	0
111	"维斯丽"	-1	50	0	0	50	1	0	0
112	"维斯丽"	-1	50	0	0	50	1	0	0
113	"维斯丽"	-1	50	0	0	50	1	0	0
114	"维斯丽"	-1	50	0	0	50	1	0	0
115	"维斯丽"	-1	50	0	0	50	1	0	0
